algorithm,array_type,n,time_us,char_cmps
StdQuickSort,random,100,31.72,715
StdMergeSort,random,100,203.10,589
StrQuickSort,random,100,32.54,626
StrMergeSort,random,100,326.88,583
MsdRadix,random,100,80.66,0
MsdRadixQuick,random,100,32.12,47
StdQuickSort,reverse,100,32.08,934
StdMergeSort,reverse,100,196.28,595
StrQuickSort,reverse,100,27.32,587
StrMergeSort,reverse,100,262.24,431
MsdRadix,reverse,100,67.04,0
MsdRadixQuick,reverse,100,46.44,337
StdQuickSort,almost,100,27.86,868
StdMergeSort,almost,100,194.38,787
StrQuickSort,almost,100,24.20,520
StrMergeSort,almost,100,294.50,602
MsdRadix,almost,100,66.10,0
MsdRadixQuick,almost,100,65.66,336
StdQuickSort,prefix,100,221.52,9269
StdMergeSort,prefix,100,327.74,6989
StrQuickSort,prefix,100,49.52,1906
StrMergeSort,prefix,100,403.52,1757
MsdRadix,prefix,100,285.80,0
MsdRadixQuick,prefix,100,209.50,61
StdQuickSort,random,200,90.04,1692
StdMergeSort,random,200,560.76,1480
StrQuickSort,random,200,106.34,1442
StrMergeSort,random,200,2294.54,1412
MsdRadix,random,200,195.86,0
MsdRadixQuick,random,200,105.24,196
StdQuickSort,reverse,200,103.76,2095
StdMergeSort,reverse,200,592.02,1303
StrQuickSort,reverse,200,78.06,1232
StrMergeSort,reverse,200,815.82,968
MsdRadix,reverse,200,186.24,0
MsdRadixQuick,reverse,200,137.50,747
StdQuickSort,almost,200,63.60,2032
StdMergeSort,almost,200,551.96,1843
StrQuickSort,almost,200,86.30,1215
StrMergeSort,almost,200,716.66,1418
MsdRadix,almost,200,129.78,0
MsdRadixQuick,almost,200,93.16,716
StdQuickSort,prefix,200,460.66,22597
StdMergeSort,prefix,200,767.36,16788
StrQuickSort,prefix,200,114.74,3977
StrMergeSort,prefix,200,944.00,3782
MsdRadix,prefix,200,403.42,0
MsdRadixQuick,prefix,200,354.90,208
StdQuickSort,random,300,160.92,3237
StdMergeSort,random,300,802.18,2523
StrQuickSort,random,300,144.72,2193
StrMergeSort,random,300,1116.76,2340
MsdRadix,random,300,259.58,0
MsdRadixQuick,random,300,111.72,428
StdQuickSort,reverse,300,115.90,3331
StdMergeSort,reverse,300,869.30,2027
StrQuickSort,reverse,300,127.04,2031
StrMergeSort,reverse,300,1449.96,1533
MsdRadix,reverse,300,258.40,0
MsdRadixQuick,reverse,300,174.42,1102
StdQuickSort,almost,300,97.70,3183
StdMergeSort,almost,300,697.32,2804
StrQuickSort,almost,300,92.78,1996
StrMergeSort,almost,300,1085.68,2194
MsdRadix,almost,300,231.04,0
MsdRadixQuick,almost,300,148.82,1127
StdQuickSort,prefix,300,779.32,34553
StdMergeSort,prefix,300,1504.42,27580
StrQuickSort,prefix,300,215.42,5813
StrMergeSort,prefix,300,2093.20,5879
MsdRadix,prefix,300,887.50,0
MsdRadixQuick,prefix,300,732.46,419
StdQuickSort,random,400,195.70,4169
StdMergeSort,random,400,1049.02,3650
StrQuickSort,random,400,157.46,3162
StrMergeSort,random,400,1932.48,3303
MsdRadix,random,400,372.52,0
MsdRadixQuick,random,400,193.98,692
StdQuickSort,reverse,400,162.38,4689
StdMergeSort,reverse,400,1569.68,2851
StrQuickSort,reverse,400,187.36,2747
StrMergeSort,reverse,400,1883.10,2141
MsdRadix,reverse,400,387.80,0
MsdRadixQuick,reverse,400,198.02,1492
StdQuickSort,almost,400,133.20,4477
StdMergeSort,almost,400,974.78,3912
StrQuickSort,almost,400,129.32,2762
StrMergeSort,almost,400,1350.42,2997
MsdRadix,almost,400,263.30,0
MsdRadixQuick,almost,400,190.18,1479
StdQuickSort,prefix,400,1126.90,55787
StdMergeSort,prefix,400,1661.00,38947
StrQuickSort,prefix,400,202.42,7856
StrMergeSort,prefix,400,2019.66,8039
MsdRadix,prefix,400,794.60,0
MsdRadixQuick,prefix,400,689.20,675
StdQuickSort,random,500,212.04,5307
StdMergeSort,random,500,1419.02,4852
StrQuickSort,random,500,214.58,4075
StrMergeSort,random,500,1713.32,4301
MsdRadix,random,500,598.36,0
MsdRadixQuick,random,500,2086.14,1011
StdQuickSort,reverse,500,301.86,5888
StdMergeSort,reverse,500,1791.44,3761
StrQuickSort,reverse,500,166.34,3592
StrMergeSort,reverse,500,1705.94,2820
MsdRadix,reverse,500,405.98,0
MsdRadixQuick,reverse,500,243.12,1871
StdQuickSort,almost,500,170.60,5729
StdMergeSort,almost,500,1431.76,4908
StrQuickSort,almost,500,170.02,3591
StrMergeSort,almost,500,1695.90,3833
MsdRadix,almost,500,326.24,0
MsdRadixQuick,almost,500,374.66,1893
StdQuickSort,prefix,500,1552.12,64378
